1942(tm) Game	'42	code	nev8.txt	1	PASIOALE	Both players start with 9 rolls
1942(tm) Game	'42	code	nev8.txt	2	IESUTYZA	Start with 6 lives, 1-player game only
1942(tm) Game	'42	code	nev8.txt	3	AESUTYZE	Start with 9 lives, 1-player game only
1942(tm) Game	'42	code	nev8.txt	4	IAKUUAZA	After continue, player 1 has 6 lives in 2-player game
1942(tm) Game	'42	code	nev8.txt	5	AAKUUAZE	After continue, player 1 has 9 lives in 2-player game
1942(tm) Game	'42	code	nev8.txt	6	IASUOAZA	Player 2 has 6 lives in 2-player game
1942(tm) Game	'42	code	nev8.txt	7	AASUOAZE	Player 2 has 9 lives in 2-player game
1942(tm) Game	'42	info	1942 is a trademark of Capcom USA, Inc.
1943(tm) Game	'43	code	nev8.txt	1	ZESNLLLE	10 power points
1943(tm) Game	'43	code	nev8.txt	2	GOSNLLLA	20 power points
1943(tm) Game	'43	code	nev8.txt	3	TOSNLLLE	30 power points
1943(tm) Game	'43	code	nev8.txt	4	AEVYZLAE	Start on mission 5
1943(tm) Game	'43	code	nev8.txt	5	ZOVYZLAA	Start on mission 10
1943(tm) Game	'43	code	nev8.txt	6	GOVYZLAE	Start on mission 15
1943(tm) Game	'43	code	nev8.txt	7	TXVYZLAA	Start on mission 20
1943(tm) Game	'43	info	1943 is a trademark of Capcom USA, Inc.
3D Worldrunner(tm) Game	3D	code	nev8.txt	1	AEUOLTPA	Infinite lives
3D Worldrunner(tm) Game	3D	code	nev8.txt	2	PEUPPTLA + PLVOLTLL	Start with 1 life
3D Worldrunner(tm) Game	3D	code	nev8.txt	3	TEUPPTLA + TLVOLTLL	Start with 6 lives
3D Worldrunner(tm) Game	3D	code	nev8.txt	4	PEUPPTLE + PLVOLTLU	Start with 9 lives
3D Worldrunner(tm) Game	3D	code	nev8.txt	5	SXUPZGVG	Freeze timer
3D Worldrunner(tm) Game	3D	code	nev8.txt	6	NNXOYGEK	Slow down timer
3D Worldrunner(tm) Game	3D	code	nev8.txt	7	AVXOYGEG	Speed up timer
3D Worldrunner(tm) Game	3D	code	nev8.txt	8	AEUOVIGA	Start with and keep laser missiles
3D Worldrunner(tm) Game	3D	code	nev8.txt	9	OXUONISX	Autofire
3D Worldrunner(tm) Game	3D	code	nev8.txt	10	XZEAUOOZ + PAEAKPAA + VAEASPSA	Start on world 2
